OBW67823.1	OBW67823.1	2-HACID_DH
PCD36639.1	PMD39587.1	GOODBYE-LIKE
PGH18939.1	PMD39587.1	GOODBYE-LIKE
PGH03032.1	PMD39587.1	GOODBYE-LIKE
PWW77820.1	XP_009224635.1	GOODBYE-LIKE
PYH88619.1	PYH88619.1	GOODBYE-LIKE
PGH01873.1	PGH01873.1	GOODBYE-LIKE
PYH88867.1	PMD39587.1	GOODBYE-LIKE
PGH01369.1	PMD39587.1	GOODBYE-LIKE
PYH89602.1	PMD39587.1	GOODBYE-LIKE
PYH89874.1	PMD39587.1	GOODBYE-LIKE
PYH91216.1	PMD39587.1	GOODBYE-LIKE
PGH04089.1	PMD39587.1	GOODBYE-LIKE
PYH91862.1	PYH91862.1	GOODBYE-LIKE
PGG99903.1	PMD39587.1	GOODBYE-LIKE
PGG99276.1	PMD39587.1	GOODBYE-LIKE
PYH92523.1	PMD39587.1	GOODBYE-LIKE
PYH93236.1	XP_025463718.1	GOODBYE-LIKE
PYH93330.1	PYH93330.1	GOODBYE-LIKE
PGG98467.1	PMD39587.1	GOODBYE-LIKE
PYH94744.1	PMD39587.1	GOODBYE-LIKE
PYH98450.1	RAK81296.1	GOODBYE-LIKE
PYI00733.1	PMD39587.1	GOODBYE-LIKE
PYI01810.1	PMD39587.1	GOODBYE-LIKE
PGH00149.1	PMD39587.1	GOODBYE-LIKE
PGG95247.1	PMD39587.1	GOODBYE-LIKE
PGH18229.1	PMD39587.1	GOODBYE-LIKE
PGH05350.1	PGH05350.1	GOODBYE-LIKE
PGH15791.1	PMD39587.1	GOODBYE-LIKE
PGH15219.1	RFU34722.1	GOODBYE-LIKE
PGH14627.1	PMD39587.1	GOODBYE-LIKE
PWO08645.1	PMD39587.1	GOODBYE-LIKE
PWO17692.1	PMD39587.1	GOODBYE-LIKE
PGH12602.1	RFU34722.1	GOODBYE-LIKE
PGH12593.1	PMD39587.1	GOODBYE-LIKE
PGH12190.1	PMD39587.1	GOODBYE-LIKE
PGH11917.1	PMD39587.1	GOODBYE-LIKE
PGH11641.1	PMD39587.1	GOODBYE-LIKE
PGH05348.1	XP_013276984.1	GOODBYE-LIKE
PWO07600.1	PMD39587.1	GOODBYE-LIKE
PWO07122.1	XP_007803296.1	GOODBYE-LIKE
PGH10978.1	PMD39587.1	GOODBYE-LIKE
PGH10423.1	PMD39587.1	GOODBYE-LIKE
PWO20111.1	PMD39587.1	GOODBYE-LIKE
PGH09068.1	PMD39587.1	GOODBYE-LIKE
PGH08637.1	PMD39587.1	GOODBYE-LIKE
PGH08130.1	RFU34722.1	GOODBYE-LIKE
PWO21513.1	PMD39587.1	GOODBYE-LIKE
PGH06161.1	PMD39587.1	GOODBYE-LIKE
PGH05438.1	KUL81568.1	GOODBYE-LIKE
PGH17771.1	PMD39587.1	GOODBYE-LIKE
OXN15391.1	PMD39587.1	GOODBYE-LIKE
PFH62147.1	PMD39587.1	GOODBYE-LIKE
PYI02811.1	RAK81296.1	GOODBYE-LIKE
PYI12813.1	PYI12813.1	GOODBYE-LIKE
PYI15098.1	PYI15098.1	GOODBYE-LIKE
PYI15961.1	PMD39587.1	GOODBYE-LIKE
PYI16076.1	PMD39587.1	GOODBYE-LIKE
PCG90327.1	XP_018696811.1	GOODBYE-LIKE
PYI17903.1	PMD39587.1	GOODBYE-LIKE
PCG89185.1	PMD39587.1	GOODBYE-LIKE
PYI19008.1	XP_013330503.1	GOODBYE-LIKE
PYI19053.1	PMD39587.1	GOODBYE-LIKE
PYI20500.1	PMD39587.1	GOODBYE-LIKE
PYI11903.1	PMD39587.1	GOODBYE-LIKE
PYI20835.1	RAK81296.1	GOODBYE-LIKE
PYI24076.1	PMD39587.1	GOODBYE-LIKE
PYI24364.1	PMD39587.1	GOODBYE-LIKE
PYI24418.1	PMD39587.1	GOODBYE-LIKE
PCD43029.1	XP_013276984.1	GOODBYE-LIKE
PYI24427.1	PMD39587.1	GOODBYE-LIKE
PYI24475.1	KKY27311.1	GOODBYE-LIKE
PCD42358.1	PMD39587.1	GOODBYE-LIKE
PYI25618.1	PMD39587.1	GOODBYE-LIKE
PYI26422.1	PMD39587.1	GOODBYE-LIKE
PYI27855.1	PMD39587.1	GOODBYE-LIKE
PYI23517.1	PMD39587.1	GOODBYE-LIKE
PYI02479.1	PMD39587.1	GOODBYE-LIKE
PYI11401.1	OJJ31438.1	GOODBYE-LIKE
PYI10655.1	PYI10655.1	GOODBYE-LIKE
PFH60075.1	PMD39587.1	GOODBYE-LIKE
PFH59163.1	XP_013330503.1	GOODBYE-LIKE
PYI02821.1	PMD39587.1	GOODBYE-LIKE
PFH57630.1	PMD39587.1	GOODBYE-LIKE
PYI03229.1	PMD39587.1	GOODBYE-LIKE
PYI03550.1	PMD39587.1	GOODBYE-LIKE
PCH07729.1	GAM43106.1	GOODBYE-LIKE
PCH06501.1	PMD39587.1	GOODBYE-LIKE
PCH05438.1	PMD39587.1	GOODBYE-LIKE
PCH03287.1	PMD39587.1	GOODBYE-LIKE
PYI11219.1	PMD39587.1	GOODBYE-LIKE
PCH02638.1	PMD39587.1	GOODBYE-LIKE
PYI05224.1	XP_025463718.1	GOODBYE-LIKE
PYI05457.1	XP_009224635.1	GOODBYE-LIKE
PCH00144.1	PMD39587.1	GOODBYE-LIKE
PCG99901.1	PMD39587.1	GOODBYE-LIKE
PCG97130.1	KKY27311.1	GOODBYE-LIKE
PCG96883.1	PMD39587.1	GOODBYE-LIKE
PYI05545.1	PMD39587.1	GOODBYE-LIKE
PYI07524.1	PYI07524.1	GOODBYE-LIKE
PYI09529.1	XP_013276984.1	GOODBYE-LIKE
PCG95568.1	PMD39587.1	GOODBYE-LIKE
PYI04062.1	PMD39587.1	GOODBYE-LIKE
RAR00183.1	PMD39587.1	GOODBYE-LIKE
OXN14755.1	PMD39587.1	GOODBYE-LIKE
PHH49188.1	PHH49188.1	GOODBYE-LIKE
RAQ49271.1	PMD39587.1	GOODBYE-LIKE
OTA59127.1	PMD39587.1	GOODBYE-LIKE
OTA59106.1	PMD39587.1	GOODBYE-LIKE
RAQ51228.1	PMD39587.1	GOODBYE-LIKE
OTA58869.1	XP_013276984.1	GOODBYE-LIKE
RAQ52126.1	PMD39587.1	GOODBYE-LIKE
RAQ52766.1	PMD39587.1	GOODBYE-LIKE
OTA54483.1	PMD39587.1	GOODBYE-LIKE
OTA54440.1	PMD39587.1	GOODBYE-LIKE
RAQ53020.1	PMD39587.1	GOODBYE-LIKE
RAQ53546.1	PMD39587.1	GOODBYE-LIKE
OTA24905.1	XP_013276984.1	GOODBYE-LIKE
OTA08542.1	XP_013330503.1	GOODBYE-LIKE
OTA07712.1	PMD39587.1	GOODBYE-LIKE
RAQ53572.1	PMD39587.1	GOODBYE-LIKE
OTA07541.1	PMD39587.1	GOODBYE-LIKE
OTA07302.1	PMD39587.1	GOODBYE-LIKE
RAQ55095.1	PMD39587.1	GOODBYE-LIKE
OTA06362.1	PMD39587.1	GOODBYE-LIKE
PHH53591.1	PMD39587.1	GOODBYE-LIKE
OTA05306.1	PMD39587.1	GOODBYE-LIKE
OTA60219.1	XP_009224635.1	GOODBYE-LIKE
OTA61213.1	PMD39587.1	GOODBYE-LIKE
OTA61606.1	PMD39587.1	GOODBYE-LIKE
OTA65286.1	PYI33822.1	GOODBYE-LIKE
OTA95556.1	PMD39587.1	GOODBYE-LIKE
PHH52955.1	PMD39587.1	GOODBYE-LIKE
RAO68956.1	PMD39587.1	GOODBYE-LIKE
OTA94840.1	PMD39587.1	GOODBYE-LIKE
RAO70027.1	PMD39587.1	GOODBYE-LIKE
OTA93801.1	PMD39587.1	GOODBYE-LIKE
OTA93779.1	PMD39587.1	GOODBYE-LIKE
RAO70282.1	PMD39587.1	GOODBYE-LIKE
OTA86682.1	PMD39587.1	GOODBYE-LIKE
RAO71367.1	PMD39587.1	GOODBYE-LIKE
OTA05214.1	XP_013330503.1	GOODBYE-LIKE
OTA83135.1	PMD39587.1	GOODBYE-LIKE
OTA80302.1	PMD39587.1	GOODBYE-LIKE
RAO72654.1	KUL81568.1	GOODBYE-LIKE
RAO72931.1	KKY27311.1	GOODBYE-LIKE
PVI02512.1	PVI02512.1	GOODBYE-LIKE
OTA68359.1	PMD39587.1	GOODBYE-LIKE
PVI02267.1	PMD39587.1	GOODBYE-LIKE
RAQ42736.1	PMD39587.1	GOODBYE-LIKE
RAQ44068.1	XP_013276984.1	GOODBYE-LIKE
OTA67437.1	PMD39587.1	GOODBYE-LIKE
OTA65362.1	PMD39587.1	GOODBYE-LIKE
OTA81161.1	XP_009224635.1	GOODBYE-LIKE
OTA05103.1	CEG04908.1	GOODBYE-LIKE
OTA04256.1	PMD39587.1	GOODBYE-LIKE
OTA02926.1	PMD39587.1	GOODBYE-LIKE
OSS46401.1	PMD39587.1	GOODBYE-LIKE
PHH64812.1	PMD39587.1	GOODBYE-LIKE
PHH64964.1	PHH76529.1	GOODBYE-LIKE
RAQ70234.1	PMD39587.1	GOODBYE-LIKE
RAQ71328.1	PMD39587.1	GOODBYE-LIKE
OSS43762.1	PMD39587.1	GOODBYE-LIKE
PHH65759.1	PMD39587.1	GOODBYE-LIKE
RAQ71731.1	PMD39587.1	GOODBYE-LIKE
RAQ73516.1	PMD39587.1	GOODBYE-LIKE
RAQ76543.1	PMD39587.1	GOODBYE-LIKE
OSS47114.1	PMD39587.1	GOODBYE-LIKE
OSC98311.1	CDO72559.1	GOODBYE-LIKE
RAQ76897.1	XP_013267346.1	GOODBYE-LIKE
ORY70362.1	XP_009224635.1	GOODBYE-LIKE
ORY68872.1	PMD39587.1	GOODBYE-LIKE
ORY68435.1	GAW22841.1	GOODBYE-LIKE
PHH69810.1	PMD39587.1	GOODBYE-LIKE
PHH70700.1	PMD39587.1	GOODBYE-LIKE
RAQ99214.1	RFN52963.1	GOODBYE-LIKE
ORY62060.1	XP_013330503.1	GOODBYE-LIKE
ORY61624.1	OOG00111.1	GOODBYE-LIKE
ORY61553.1	CRK34635.1	GOODBYE-LIKE
ORY72165.1	PMD39587.1	GOODBYE-LIKE
OTA96823.1	XP_013276984.1	GOODBYE-LIKE
OSS48703.1	PMD39587.1	GOODBYE-LIKE
RAQ69120.1	PMD39587.1	GOODBYE-LIKE
RAQ58610.1	PMD39587.1	GOODBYE-LIKE
OTA02490.1	PMD39587.1	GOODBYE-LIKE
OTA02464.1	RFU34722.1	GOODBYE-LIKE
RAQ59019.1	PMD39587.1	GOODBYE-LIKE
RAQ60066.1	PMD39587.1	GOODBYE-LIKE
OTA01899.1	OTB04511.1	GOODBYE-LIKE
RAQ60826.1	XP_013276984.1	GOODBYE-LIKE
RAQ61454.1	PMD39587.1	GOODBYE-LIKE
RAQ67379.1	PMD39587.1	GOODBYE-LIKE
RAQ67998.1	PMD39587.1	GOODBYE-LIKE
OSS48825.1	PMD39587.1	GOODBYE-LIKE
OTA00415.1	CEG04908.1	GOODBYE-LIKE
RAQ68350.1	PMD39587.1	GOODBYE-LIKE
PVI01812.1	PMD39587.1	GOODBYE-LIKE
PHH55862.1	PMD39587.1	GOODBYE-LIKE
PVI01289.1	PMD39587.1	GOODBYE-LIKE
PHH56235.1	PMD39587.1	GOODBYE-LIKE
OSS52593.1	PMD39587.1	GOODBYE-LIKE
RAQ68848.1	PMD39587.1	GOODBYE-LIKE
PHH60508.1	PMD39587.1	GOODBYE-LIKE
OSS49018.1	PMD39587.1	GOODBYE-LIKE
PHH64287.1	PMD39587.1	GOODBYE-LIKE
OTA00214.1	PMD39587.1	GOODBYE-LIKE
RAO68317.1	PMD39587.1	GOODBYE-LIKE
RAO67953.1	PMD39587.1	GOODBYE-LIKE
RAO67477.1	PMD39587.1	GOODBYE-LIKE
PVI04585.1	XP_013330503.1	GOODBYE-LIKE
OWY51252.1	PMD39587.1	GOODBYE-LIKE
PHH49970.1	PMD39587.1	GOODBYE-LIKE
PHH49991.1	PMD39587.1	GOODBYE-LIKE
OWY48269.1	PMD39587.1	GOODBYE-LIKE
PVI04023.1	PMD39587.1	GOODBYE-LIKE
PZD43485.1	PMD39587.1	GOODBYE-LIKE
OWY45811.1	XP_018380005.1	GOODBYE-LIKE
OWY45216.1	PMD39587.1	GOODBYE-LIKE
PZD44271.1	PMD39587.1	GOODBYE-LIKE
OWY53045.1	PMD39587.1	GOODBYE-LIKE
PVI03077.1	PMD39587.1	GOODBYE-LIKE
OWY43385.1	PMD39587.1	GOODBYE-LIKE
OWY42639.1	PMD39587.1	GOODBYE-LIKE
OWW38066.1	PMD39587.1	GOODBYE-LIKE
PHH51561.1	PMD39587.1	GOODBYE-LIKE
OWW37883.1	XP_025543303.1	GOODBYE-LIKE
OWW37706.1	PMD39587.1	GOODBYE-LIKE
PVI02696.1	PMD39587.1	GOODBYE-LIKE
OWW37674.1	PMD39587.1	GOODBYE-LIKE
PZD50386.1	PMD39587.1	GOODBYE-LIKE
OWW37201.1	XP_025560671.1	GOODBYE-LIKE
PHH50007.1	PMD39587.1	GOODBYE-LIKE
PVI02625.1	PMD39587.1	GOODBYE-LIKE
OWY53114.1	PMD39587.1	GOODBYE-LIKE
PHH49659.1	PMD39587.1	GOODBYE-LIKE
PHH49211.1	PMD39587.1	GOODBYE-LIKE
OXN13100.1	PMD39587.1	GOODBYE-LIKE
PZD33342.1	PMD39587.1	GOODBYE-LIKE
PZD35045.1	PMD39587.1	GOODBYE-LIKE
OXN12645.1	PMD39587.1	GOODBYE-LIKE
PVI08160.1	PMD39587.1	GOODBYE-LIKE
PHH49485.1	PMD39587.1	GOODBYE-LIKE
OXN12457.1	XP_013276984.1	GOODBYE-LIKE
OXN11562.1	PMD39587.1	GOODBYE-LIKE
PZD37189.1	PMD39587.1	GOODBYE-LIKE
PHH49791.1	PMD39587.1	GOODBYE-LIKE
PVI07637.1	PMD39587.1	GOODBYE-LIKE
OXN09186.1	PMD39587.1	GOODBYE-LIKE
OXN08105.1	PMD39587.1	GOODBYE-LIKE
OXN06985.1	PMD39587.1	GOODBYE-LIKE
OXN06412.1	PMD39587.1	GOODBYE-LIKE
OXN06163.1	PMD39587.1	GOODBYE-LIKE
PHH49640.1	PMD39587.1	GOODBYE-LIKE
OXN04028.1	RAK81296.1	GOODBYE-LIKE
OXN03148.1	PMD39587.1	GOODBYE-LIKE
OWY58516.1	RFN52963.1	GOODBYE-LIKE
OWY55412.1	PMD39587.1	GOODBYE-LIKE
PVI05552.1	PMD39587.1	GOODBYE-LIKE
PWI63943.1	PMD39587.1	GOODBYE-LIKE
OWW36440.1	XP_025543303.1	GOODBYE-LIKE
OWW34919.1	PMD39587.1	GOODBYE-LIKE
RAL59829.1	KKY27311.1	GOODBYE-LIKE
OTB12629.1	PMD39587.1	GOODBYE-LIKE
PHH52579.1	PMD39587.1	GOODBYE-LIKE
RAL63639.1	PMD39587.1	GOODBYE-LIKE
RAL65478.1	RAL65478.1	GOODBYE-LIKE
RAO65168.1	PMD39587.1	GOODBYE-LIKE
OTB06590.1	OTB06590.1	GOODBYE-LIKE
OTB06435.1	PMD39587.1	GOODBYE-LIKE
RAO65282.1	PMD39587.1	GOODBYE-LIKE
OTB05740.1	PMD39587.1	GOODBYE-LIKE
RAK81513.1	XP_009224635.1	GOODBYE-LIKE
RAO65428.1	PYI07524.1	GOODBYE-LIKE
OTB04743.1	PMD39587.1	GOODBYE-LIKE
PHH52935.1	PMD39587.1	GOODBYE-LIKE
OTB03693.1	PMD39587.1	GOODBYE-LIKE
OTB02990.1	RFU34722.1	GOODBYE-LIKE
RAO66470.1	PMD39587.1	GOODBYE-LIKE
RAO66477.1	PMD39587.1	GOODBYE-LIKE
OTB00301.1	RFU34722.1	GOODBYE-LIKE
RAO66677.1	PMD39587.1	GOODBYE-LIKE
RAO66806.1	PMD39587.1	GOODBYE-LIKE
OTA98315.1	OTA98315.1	GOODBYE-LIKE
RAO65522.1	PMD39587.1	GOODBYE-LIKE
OWW36375.1	PMD39587.1	GOODBYE-LIKE
OTB14252.1	OTB14252.1	GOODBYE-LIKE
RAK81445.1	XP_013276984.1	GOODBYE-LIKE
PZD53217.1	PMD39587.1	GOODBYE-LIKE
PHH52104.1	KPM43948.1	GOODBYE-LIKE
OWW32635.1	PMD39587.1	GOODBYE-LIKE
RAK71755.1	PMD39587.1	GOODBYE-LIKE
RAK73164.1	PMD39587.1	GOODBYE-LIKE
OWW31737.1	PMD39587.1	GOODBYE-LIKE
OWW31634.1	PMD39587.1	GOODBYE-LIKE
OWW30583.1	PMD39587.1	GOODBYE-LIKE
OWW30333.1	PMD39587.1	GOODBYE-LIKE
RAK76502.1	RAK81296.1	GOODBYE-LIKE
OTB15343.1	XP_013330503.1	GOODBYE-LIKE
RAK76573.1	PMD39587.1	GOODBYE-LIKE
RAK79316.1	PMD39587.1	GOODBYE-LIKE
RAK79384.1	PMD39587.1	GOODBYE-LIKE
RAK79543.1	PMD39587.1	GOODBYE-LIKE
RAK81151.1	KKY27311.1	GOODBYE-LIKE
RAK81216.1	PMD39587.1	GOODBYE-LIKE
OTB19248.1	RFU34722.1	GOODBYE-LIKE
OTB18817.1	GAW15650.1	GOODBYE-LIKE
RAK81228.1	PMD39587.1	GOODBYE-LIKE
RAK81295.1	PMD39587.1	GOODBYE-LIKE
OTB16743.1	PMD39587.1	GOODBYE-LIKE
OWW28798.1	XP_020119694.1	GOODBYE-LIKE
KXJ86264.1	PMD39587.1	GOODBYE-LIKE
RDK41662.1	PMD39587.1	GOODBYE-LIKE
RDK45967.1	PMD39587.1	GOODBYE-LIKE
SCV57007.1	PMD39587.1	GOODBYE-LIKE
SCV57123.1	PMD39587.1	GOODBYE-LIKE
OAQ77315.1	XP_013276984.1	GOODBYE-LIKE
OAQ75273.1	PMD39587.1	GOODBYE-LIKE
SCV57370.1	PMD39587.1	GOODBYE-LIKE
OAQ74510.1	PMD39587.1	GOODBYE-LIKE
OAQ74440.1	PMD39587.1	GOODBYE-LIKE
SCV57733.1	PMD39587.1	GOODBYE-LIKE
SCV57760.1	PMD39587.1	GOODBYE-LIKE
SCV59500.1	PMD39587.1	GOODBYE-LIKE
OAL73442.1	PMD39587.1	GOODBYE-LIKE
OAL71045.1	PMD39587.1	GOODBYE-LIKE
OAL67678.1	PMD39587.1	GOODBYE-LIKE
SCV61374.1	PMD39587.1	GOODBYE-LIKE
SJL00946.1	KZT25309.1	GOODBYE-LIKE
SJL00962.1	KZT25309.1	GOODBYE-LIKE
SJL00968.1	KZT25309.1	GOODBYE-LIKE
PMB65156.1	PMD39587.1	GOODBYE-LIKE
PMB65245.1	PMD39587.1	GOODBYE-LIKE
OAL55390.1	PMD39587.1	GOODBYE-LIKE
OAL55020.1	PMD39587.1	GOODBYE-LIKE
OAQ96024.1	PYI07524.1	GOODBYE-LIKE
PMB64334.1	PMD39587.1	GOODBYE-LIKE
OAQ97504.1	PMD39587.1	GOODBYE-LIKE
SCV52450.1	PMD39587.1	GOODBYE-LIKE
SCV39827.1	PMD39587.1	GOODBYE-LIKE
OAX82520.1	XP_013276984.1	GOODBYE-LIKE
OAX82421.1	RFU34722.1	GOODBYE-LIKE
OAX81827.1	OJD10865.1	GOODBYE-LIKE
SCV41841.1	PMD39587.1	GOODBYE-LIKE
OAX38625.1	PMD39587.1	GOODBYE-LIKE
SCV41996.1	PMD39587.1	GOODBYE-LIKE
SCV42635.1	PMD39587.1	GOODBYE-LIKE
OAT12010.1	PMD39587.1	GOODBYE-LIKE
SCV44481.1	PMD39587.1	GOODBYE-LIKE
SJL04705.1	PMD39587.1	GOODBYE-LIKE
SCV45157.1	RFN52133.1	GOODBYE-LIKE
OAT05963.1	OAT05963.1	GOODBYE-LIKE
OAT05795.1	RFU34722.1	GOODBYE-LIKE
SCV47259.1	PMD39587.1	GOODBYE-LIKE
OAR05768.1	PMD39587.1	GOODBYE-LIKE
SCV47828.1	PMD39587.1	GOODBYE-LIKE
SCV48309.1	PMD39587.1	GOODBYE-LIKE
PMB63504.1	PMD39587.1	GOODBYE-LIKE
OAR00404.1	PMD39587.1	GOODBYE-LIKE
SCV51342.1	PMD39587.1	GOODBYE-LIKE
SCV51941.1	PMD39587.1	GOODBYE-LIKE
OAT07838.1	OAT07838.1	GOODBYE-LIKE
OAL53922.1	PMD39587.1	GOODBYE-LIKE
SJL09132.1	KZT25309.1	GOODBYE-LIKE
OAL53394.1	PMD39587.1	GOODBYE-LIKE
OAL28588.1	PMD39587.1	GOODBYE-LIKE
OAL24527.1	XP_007802933.1	GOODBYE-LIKE
OAL21718.1	PMD39587.1	GOODBYE-LIKE
OAL21622.1	XP_009224635.1	GOODBYE-LIKE
OAL21542.1	XP_018696811.1	GOODBYE-LIKE
SJL14629.1	KZT25309.1	GOODBYE-LIKE
SJL14640.1	KZT25309.1	GOODBYE-LIKE
SJL14650.1	KZT25309.1	GOODBYE-LIKE
OAL17683.1	OAL17683.1	GOODBYE-LIKE
SJL14668.1	KZT25309.1	GOODBYE-LIKE
PMD12225.1	PMD39587.1	GOODBYE-LIKE
SJL16194.1	KZT25309.1	GOODBYE-LIKE
OAL07613.1	PMD39587.1	GOODBYE-LIKE
PVH69331.1	PMD39587.1	GOODBYE-LIKE
OAL04530.1	RFU34722.1	GOODBYE-LIKE
PMD12920.1	PMD39587.1	GOODBYE-LIKE
OAL04259.1	PMD39587.1	GOODBYE-LIKE
OAL02432.1	PMD39587.1	GOODBYE-LIKE
SJL16669.1	SJL11665.1	GOODBYE-LIKE
OAL01513.1	OAL01513.1	GOODBYE-LIKE
SJL17586.1	KZT25309.1	GOODBYE-LIKE
OAK99863.1	PMD39587.1	GOODBYE-LIKE
OAL07653.1	PMD39587.1	GOODBYE-LIKE
OAX83844.1	PMD39587.1	GOODBYE-LIKE
OAL31833.1	PMD39587.1	GOODBYE-LIKE
OAL42906.1	RFU35726.1	GOODBYE-LIKE
PMB66691.1	XP_008601787.1	GOODBYE-LIKE
OAL52436.1	PMD39587.1	GOODBYE-LIKE
OAL51767.1	PMD39587.1	GOODBYE-LIKE
OAL51630.1	PMD39587.1	GOODBYE-LIKE
SJL09139.1	KZT25309.1	GOODBYE-LIKE
SJL09145.1	KZT25309.1	GOODBYE-LIKE
OAL50966.1	PMD39587.1	GOODBYE-LIKE
OAL50438.1	PMD39587.1	GOODBYE-LIKE
OAL50349.1	PMD39587.1	GOODBYE-LIKE
OAL48734.1	PMD39587.1	GOODBYE-LIKE
PMD11948.1	PMD39587.1	GOODBYE-LIKE
SJL10355.1	KZT25309.1	GOODBYE-LIKE
SJL11655.1	KZT25309.1	GOODBYE-LIKE
OAL45504.1	PMD39587.1	GOODBYE-LIKE
SJL11665.1	SJL11665.1	GOODBYE-LIKE
OAL44713.1	PMD39587.1	GOODBYE-LIKE
OAL44689.1	PMD39587.1	GOODBYE-LIKE
OAL44425.1	OAL44425.1	GOODBYE-LIKE
OAL44057.1	PMD39587.1	GOODBYE-LIKE
OAL43917.1	PMD39587.1	GOODBYE-LIKE
OAL43415.1	PMD39587.1	GOODBYE-LIKE
OAL43118.1	PMD39587.1	GOODBYE-LIKE
SJL11191.1	PMD39587.1	GOODBYE-LIKE
SCV38142.1	PMD39587.1	GOODBYE-LIKE
OAX84576.1	PMD39587.1	GOODBYE-LIKE
OBS14970.1	PMD39587.1	GOODBYE-LIKE
SCO53669.1	PMD39587.1	GOODBYE-LIKE
OBT56156.1	PMD39587.1	GOODBYE-LIKE
OBT55764.1	OBT55764.1	GOODBYE-LIKE
SCO54288.1	PMD39587.1	GOODBYE-LIKE
OBT54916.1	PMD39587.1	GOODBYE-LIKE
SCO54842.1	PMD39587.1	GOODBYE-LIKE
SCO55579.1	RFN52133.1	GOODBYE-LIKE
SCO55805.1	PMD39587.1	GOODBYE-LIKE
OBT53244.1	PMD39587.1	GOODBYE-LIKE
SCO57938.1	PMD39587.1	GOODBYE-LIKE
SCO53229.1	PMD39587.1	GOODBYE-LIKE
SCO58272.1	PMD39587.1	GOODBYE-LIKE
OBT52098.1	PMD39587.1	GOODBYE-LIKE
OBT51929.1	OBT51929.1	GOODBYE-LIKE
OBT51787.1	PMD39587.1	GOODBYE-LIKE
OBT51094.1	PMD39587.1	GOODBYE-LIKE
SCO81370.1	PMD39587.1	GOODBYE-LIKE
OBT48196.1	PMD39587.1	GOODBYE-LIKE
OBT47335.1	PMD39587.1	GOODBYE-LIKE
PVH70635.1	PMD39587.1	GOODBYE-LIKE
SCO86072.1	PMD39587.1	GOODBYE-LIKE
OBT45904.1	PMD39587.1	GOODBYE-LIKE
OBT52920.1	PMD39587.1	GOODBYE-LIKE
SCO86426.1	PMD39587.1	GOODBYE-LIKE
OBT57234.1	OBT57234.1	GOODBYE-LIKE
PLN84984.1	PMD39587.1	GOODBYE-LIKE
SCO31303.1	PMD39587.1	GOODBYE-LIKE
OBT63596.1	KFZ03312.1	GOODBYE-LIKE
SCO42372.1	PMD39587.1	GOODBYE-LIKE
PLN83280.1	RAK81296.1	GOODBYE-LIKE
SCO42884.1	PMD39587.1	GOODBYE-LIKE
PLN84026.1	PMD39587.1	GOODBYE-LIKE
OBT62906.1	OBT62906.1	GOODBYE-LIKE
SCO44299.1	PMD39587.1	GOODBYE-LIKE
OBT62449.1	OBT55764.1	GOODBYE-LIKE
OBT62394.1	OBT62394.1	GOODBYE-LIKE
OBT57822.1	KFZ12211.1	GOODBYE-LIKE
SCO44799.1	PMD39587.1	GOODBYE-LIKE
SCO46487.1	PMD39587.1	GOODBYE-LIKE
SCO46628.1	PMD39587.1	GOODBYE-LIKE
SCO46816.1	PMD39587.1	GOODBYE-LIKE
OBT60437.1	PMD39587.1	GOODBYE-LIKE
SCO47076.1	PMD39587.1	GOODBYE-LIKE
SCO47487.1	XP_013330503.1	GOODBYE-LIKE
SCO48271.1	PMD39587.1	GOODBYE-LIKE
SCO49266.1	PMD39587.1	GOODBYE-LIKE
SCO50163.1	PMD39587.1	GOODBYE-LIKE
SCO50751.1	PMD39587.1	GOODBYE-LIKE
OBT61859.1	PMD39587.1	GOODBYE-LIKE
OAK98633.1	PMD39587.1	GOODBYE-LIKE
SCO87393.1	PMD39587.1	GOODBYE-LIKE
OBT42987.1	PMD39587.1	GOODBYE-LIKE
SCV28617.1	PMD39587.1	GOODBYE-LIKE
OBS19722.1	XP_013276984.1	GOODBYE-LIKE
OBS19060.1	PMD39587.1	GOODBYE-LIKE
OBS17670.1	PMD39587.1	GOODBYE-LIKE
OBS17520.1	PMD39587.1	GOODBYE-LIKE
OBS17519.1	PMD39587.1	GOODBYE-LIKE
OBS17333.1	PMD39587.1	GOODBYE-LIKE
OBS17327.1	OBS17327.1	GOODBYE-LIKE
OBS16979.1	PMD39587.1	GOODBYE-LIKE
OBS16918.1	KPM43948.1	GOODBYE-LIKE
SCV28600.1	PMD39587.1	GOODBYE-LIKE
OBS16866.1	KPM43948.1	GOODBYE-LIKE
OBS16602.1	KPM43948.1	GOODBYE-LIKE
OBS16524.1	PMD39587.1	GOODBYE-LIKE
SCV34313.1	PMD39587.1	GOODBYE-LIKE
SCV34434.1	PMD39587.1	GOODBYE-LIKE
SCV36090.1	PMD39587.1	GOODBYE-LIKE
OBS15481.1	PMD39587.1	GOODBYE-LIKE
OBS15450.1	CEG04908.1	GOODBYE-LIKE
OBS15195.1	PMD39587.1	GOODBYE-LIKE
OBS15080.1	PMD39587.1	GOODBYE-LIKE
OBS15059.1	PMD39587.1	GOODBYE-LIKE
SCV28753.1	PMD39587.1	GOODBYE-LIKE
OBT44078.1	PMD39587.1	GOODBYE-LIKE
SCV28484.1	PMD39587.1	GOODBYE-LIKE
OBS22765.1	PMD39587.1	GOODBYE-LIKE
SCO88932.1	OCL03072.1	GOODBYE-LIKE
OBT41159.1	KFZ12211.1	GOODBYE-LIKE
SCO88947.1	PMD39587.1	GOODBYE-LIKE
