SJL16168.1	SJL16168.1
RFN52462.1	XP_008725573.1
RFN52462.1	ODH44772.1
RFN52462.1	ODH49779.1
RFN52462.1	ODM15197.1
RFN52462.1	ODM18439.1
RFN52462.1	ODM19089.1
RFN52462.1	ODM21793.1
RFN52462.1	OHW90742.1
RFN52462.1	KZL75124.1
RFN52462.1	KZL84696.1
RFN52462.1	OHW96525.1
RFN52462.1	OHW98403.1
RFN52462.1	KZL76464.1
RFN52462.1	KZL78184.1
RFN52462.1	OIW22782.1
RFN52462.1	OJD15769.1
RFN52462.1	OJD18908.1
RFN52462.1	OJD25604.1
RFN52462.1	CRL27469.1
RFN52462.1	EDP53756.1
RFN52462.1	GAA83738.1
RFN52462.1	GAT22514.1
RFN52462.1	KEY83853.1
RFN52462.1	KMK60550.1
RFN52462.1	ODM16043.1
RFN52462.1	OJD09678.1
RFN52462.1	OJD10373.1
RFN52462.1	OJJ54446.1
RFN52462.1	OOF89902.1
RFN52462.1	OXN28069.1
RFN52462.1	PCG88442.1
RFN52462.1	PGG95257.1
RFN52462.1	PGG99111.1
RFN52462.1	PIG69514.1
RFN52462.1	RAK80124.1
RFN52462.1	RAO74243.1
RFN52462.1	XP_001265651.1
RFN52462.1	XP_001542068.1
RFN52462.1	XP_015405195.1
RFN52462.1	XP_020055244.1
RFN52462.1	XP_022393688.1
RFN52462.1	XP_022400248.1
RFN52462.1	XP_024706315.1
RFN52462.1	XP_025426018.1
RFN52462.1	XP_025442787.1
RFN52462.1	XP_025467306.1
RFN52462.1	XP_025482930.1
RFN52462.1	XP_025550712.1
RFN52462.1	XP_025561309.1
RFN52462.1	XP_025569107.1
RFN52462.1	XP_661151.1
RFN52462.1	XP_681726.1
RFN52462.1	XP_749228.2
RFN52462.1	OJI95835.1
RFN52462.1	CEL01011.1
RFN52462.1	CRG92711.1
RFN52462.1	CRG92827.1
RFN52462.1	GAM38323.1
RFN52462.1	KFX52257.1
RFN52462.1	OJJ61738.1
RFN52462.1	OWW33912.1
RFN52462.1	PCG94633.1
RFN52462.1	PCG96752.1
RFN52462.1	RAO71524.1
RFN52462.1	RAO72462.1
RFN52462.1	SPB49194.1
RFN52462.1	XP_002150563.1
RFN52462.1	XP_002478979.1
RFN52462.1	XP_002485772.1
RFN52462.1	XP_013330981.1
RFN52462.1	OJI97354.1
RFN52462.1	OJI97590.1
RFN52462.1	OJI98667.1
RFN52462.1	OJJ64570.1
RFN52462.1	OJI99831.1
RFN52462.1	OJJ01824.1
RFN52462.1	OJJ59214.1
RFN52462.1	OJJ04030.1
RFN52462.1	OJJ60235.1
RFN52462.1	OJJ04748.1
RFN52462.1	OJJ04991.1
RFN52462.1	CEN60364.1
RFN52462.1	CRG91380.1
RFN52462.1	OJJ05522.1
RFN52462.1	OJJ57660.1
RFN52462.1	OJJ05527.1
RFN52462.1	OJJ07396.1
RFN52462.1	OJJ07910.1
RFN52462.1	OJJ08851.1
RFN52462.1	OJJ30917.1
RFN52462.1	OJJ30940.1
RFN52462.1	OJJ33411.1
RFN52462.1	OJJ35564.1
RFN52462.1	OJJ38129.1
RFN52462.1	OJJ39573.1
RFN52462.1	OJJ41193.1
RFN52462.1	OJJ52867.1
RFN52462.1	OJJ52880.1
RFN52462.1	OJJ53750.1
RFN52462.1	OJJ54618.1
RFN52462.1	OJJ55209.1
RFN52462.1	OJJ55546.1
RFN52462.1	OJJ56430.1
RFN52462.1	OJJ56868.1
RFN52462.1	OJJ03458.1
RFN52462.1	OJJ57227.1
RFN52462.1	OJI98795.1
RFN52462.1	OJJ60506.1
RFN52462.1	OJJ62943.1
RFN52462.1	OJI98047.1
RFN52462.1	OJJ63582.1
RFN52462.1	OJJ65104.1
RFN52462.1	OJJ65385.1
RFN52462.1	OJJ65772.1
RFN52462.1	OJI89174.1
RFN52462.1	OJJ66288.1
RFN52462.1	OJJ66950.1
RFN52462.1	OKO94546.1
RFN52462.1	OKP00753.1
RFN52462.1	OLN82075.1
RFN52462.1	OLN87733.1
RFN52462.1	ELA28671.1
RFN52462.1	EXF84400.1
RFN52462.1	KDN66640.1
RFN52462.1	OLN94198.1
RFN52462.1	OLN95506.1
RFN52462.1	OLN96219.1
RFN52462.1	OLN97983.1
RFN52462.1	OMP84402.1
RFN52462.1	OOO06623.1
RFN52462.1	RAQ74352.1
RFN52462.1	RDH27541.1
RFN52462.1	OOO11838.1
RFN52462.1	OOO12194.1
RFN52462.1	OOQ83622.1
RFN52462.1	CEL09355.1
RFN52462.1	OOQ86960.1
RFN52462.1	CEJ61128.1
RFN52462.1	OPB37378.1
RFN52462.1	PKK53318.1
RFN52462.1	XP_013960344.1
RFN52462.1	XP_024777664.1
RFN52462.1	OPB37494.1
RFN52462.1	KKO98463.1
RFN52462.1	OPB39616.1
RFN52462.1	KKP03395.1
RFN52462.1	OPB40202.1
RFN52462.1	KKP01363.1
RFN52462.1	OPB40228.1
RFN52462.1	OPB41681.1
RFN52462.1	OPB41799.1
RFN52462.1	OPB44478.1
RFN52462.1	OPB44479.1
RFN52462.1	OPB44870.1
RFN52462.1	OPB45419.1
RFN52462.1	OPB45737.1
RFN52462.1	OPB46656.1
RFN52462.1	OPB46716.1
RFN52462.1	OQD60763.1
RFN52462.1	OQD85048.1
RFN52462.1	PYI17232.1
RFN52462.1	OQD62980.1
RFN52462.1	OQD65090.1
RFN52462.1	KOS44231.1
RFN52462.1	KUM55631.1
RFN52462.1	OQD66739.1
RFN52462.1	OQD78940.1
RFN52462.1	OQD86436.1
RFN52462.1	OQD86803.1
RFN52462.1	CRL26309.1
RFN52462.1	OQD87404.1
RFN52462.1	OQD91010.1
RFN52462.1	OQE15950.1
RFN52462.1	OQE16196.1
RFN52462.1	OQE18585.1
RFN52462.1	OQE22315.1
RFN52462.1	OQE25397.1
RFN52462.1	OQE25447.1
RFN52462.1	OQE28497.1
RFN52462.1	OKP00976.1
RFN52462.1	OQE34403.1
RFN52462.1	OQE34407.1
RFN52462.1	CDM36730.1
RFN52462.1	OQE32554.1
RFN52462.1	OQE39856.1
RFN52462.1	OQU96555.1
RFN52462.1	OQU96556.1
RFN52462.1	XP_013282829.1
RFN52462.1	XP_016245275.1
RFN52462.1	XP_022500737.1
RFN52462.1	XP_022506131.1
RFN52462.1	OQV00153.1
RFN52462.1	ORY58783.1
RFN52462.1	ORY63100.1
RFN52462.1	ORY67765.1
RFN52462.1	ORY67776.1
RFN52462.1	OSS43214.1
RFN52462.1	EMD89075.1
RFN52462.1	EMD92284.1
RFN52462.1	GAA88079.1
RFN52462.1	GAQ45125.1
RFN52462.1	GAT22660.1
RFN52462.1	KNG46004.1
RFN52462.1	KNG46738.1
RFN52462.1	OAL43741.1
RFN52462.1	OAL48192.1
RFN52462.1	OCK98381.1
RFN52462.1	OCL03046.1
RFN52462.1	OJI91547.1
RFN52462.1	OJJ65880.1
RFN52462.1	OJZ81342.1
RFN52462.1	OOF95295.1
RFN52462.1	OSS43463.1
RFN52462.1	OWW29053.1
RFN52462.1	PSN69444.1
RFN52462.1	PVH94209.1
RFN52462.1	RAR09054.1
RFN52462.1	RAR11371.1
RFN52462.1	RDH30904.1
RFN52462.1	RDK37745.1
RFN52462.1	XP_007694967.1
RFN52462.1	XP_007700672.1
RFN52462.1	XP_007708655.1
RFN52462.1	XP_007717365.1
RFN52462.1	XP_014079114.1
RFN52462.1	XP_014081885.1
RFN52462.1	XP_014553834.1
RFN52462.1	XP_014560491.1
RFN52462.1	XP_025455545.1
RFN52462.1	XP_025484352.1
RFN52462.1	XP_025509957.1
RFN52462.1	XP_025540486.1
RFN52462.1	XP_025564635.1
RFN52462.1	OTA00919.1
RFN52462.1	PTB71325.1
RFN52462.1	OTA06132.1
RFN52462.1	OTA64791.1
RFN52462.1	OTA70606.1
RFN52462.1	OTB05176.1
RFN52462.1	OWW32185.1
RFN52462.1	CAK45831.1
RFN52462.1	CRG84038.1
RFN52462.1	GAA92417.1
RFN52462.1	GAA93242.1
RFN52462.1	GAO90144.1
RFN52462.1	GAT20833.1
RFN52462.1	KGO41142.1
RFN52462.1	KOC13588.1
RFN52462.1	OJJ65728.1
RFN52462.1	OJJ65820.1
RFN52462.1	OJJ66803.1
RFN52462.1	OKP01413.1
RFN52462.1	OOF94182.1
RFN52462.1	OQE40897.1
RFN52462.1	PIG85755.1
RFN52462.1	PLN78794.1
RFN52462.1	RAQ47668.1
RFN52462.1	RAQ57291.1
RFN52462.1	RDH13945.1
RFN52462.1	RDH16249.1
RFN52462.1	RDH26592.1
RFN52462.1	SPB44598.1
RFN52462.1	XP_001390199.1
RFN52462.1	XP_001393220.2
RFN52462.1	XP_001393261.2
RFN52462.1	XP_015400904.1
RFN52462.1	XP_016602651.1
RFN52462.1	XP_022384690.1
RFN52462.1	XP_024675726.1
RFN52462.1	XP_024693138.1
RFN52462.1	XP_025448235.1
RFN52462.1	XP_025450199.1
RFN52462.1	XP_025453076.1
RFN52462.1	XP_025467204.1
RFN52462.1	XP_025474296.1
RFN52462.1	XP_025559833.1
RFN52462.1	OWW37161.1
RFN52462.1	RDK39701.1
RFN52462.1	XP_001397036.2
RFN52462.1	XP_025381735.1
RFN52462.1	XP_025453431.1
RFN52462.1	XP_025468251.1
RFN52462.1	OWW37378.1
RFN52462.1	AOS89733.1
RFN52462.1	AOS89739.1
RFN52462.1	AOS89745.1
RFN52462.1	EHA24965.1
RFN52462.1	GAQ40165.1
RFN52462.1	GAT21786.1
RFN52462.1	OJI79347.1
RFN52462.1	OJJ08401.1
RFN52462.1	OJJ67032.1
RFN52462.1	OJZ85558.1
RFN52462.1	RDH31250.1
RFN52462.1	RDK37095.1
RFN52462.1	RFU72758.1
RFN52462.1	XP_025383357.1
RFN52462.1	XP_025448259.1
RFN52462.1	XP_025476965.1
RFN52462.1	XP_025511245.1
RFN52462.1	XP_025536391.1
RFN52462.1	XP_025557186.1
RFN52462.1	OXN12508.1
RFN52462.1	OXN13084.1
RFN52462.1	OXN12619.1
RFN52462.1	OXN13928.1
RFN52462.1	GAO85513.1
RFN52462.1	GAQ04666.1
RFN52462.1	XP_001263664.1
RFN52462.1	XP_024677506.1
RFN52462.1	OXN15273.1
RFN52462.1	OXN19228.1
RFN52462.1	CEJ55264.1
RFN52462.1	EER38585.1
RFN52462.1	EGE82161.1
RFN52462.1	EQL36013.1
RFN52462.1	EQL38764.1
RFN52462.1	GAM43663.1
RFN52462.1	GAO81410.1
RFN52462.1	KFX46011.1
RFN52462.1	KFX49360.1
RFN52462.1	KFX49361.1
RFN52462.1	KKZ58602.1
RFN52462.1	KLJ06111.1
RFN52462.1	KLJ08151.1
RFN52462.1	KUL84070.1
RFN52462.1	OAT00872.1
RFN52462.1	OAT05374.1
RFN52462.1	OJD13717.1
RFN52462.1	OOQ85800.1
RFN52462.1	OOQ87883.1
RFN52462.1	PCH01506.1
RFN52462.1	PGH01896.1
RFN52462.1	PGH07662.1
RFN52462.1	PGH34610.1
RFN52462.1	RAO66389.1
RFN52462.1	RAO67453.1
RFN52462.1	XP_002149045.1
RFN52462.1	XP_002152624.1
RFN52462.1	XP_002623116.1
RFN52462.1	XP_013938024.1
RFN52462.1	XP_013959813.1
RFN52462.1	XP_015404146.1
RFN52462.1	XP_022399653.1
RFN52462.1	XP_025469266.1
RFN52462.1	XP_025571665.1
RFN52462.1	OXN20928.1
RFN52462.1	OZJ02082.1
RFN52462.1	PCD20884.1
RFN52462.1	PTD02086.1
RFN52462.1	XP_018257885.1
RFN52462.1	PCD21195.1
RFN52462.1	PCG88989.1
RFN52462.1	GAM42367.1
RFN52462.1	PCG91287.1
RFN52462.1	PCG97775.1
RFN52462.1	KFX51083.1
RFN52462.1	XP_002144344.1
RFN52462.1	XP_024678517.1
RFN52462.1	PCH01813.1
RFN52462.1	GAM42724.1
RFN52462.1	KUL89124.1
RFN52462.1	PCH07962.1
RFN52462.1	RAO66274.1
RFN52462.1	PFH56563.1
RFN52462.1	PGG95107.1
RFN52462.1	PGG95862.1
RFN52462.1	PGG96037.1
RFN52462.1	PGG97954.1
RFN52462.1	PGH01089.1
RFN52462.1	PGH01143.1
RFN52462.1	PGH01146.1
RFN52462.1	PGH05933.1
RFN52462.1	PGH07190.1
RFN52462.1	PGH07641.1
RFN52462.1	PGH11558.1
RFN52462.1	PGH13518.1
RFN52462.1	PGH14636.1
RFN52462.1	PGH15678.1
RFN52462.1	PGH16299.1
RFN52462.1	PGH16432.1
RFN52462.1	PGH17821.1
RFN52462.1	PGH28384.1
RFN52462.1	KKZ59859.1
RFN52462.1	PGH34749.1
RFN52462.1	KKZ68560.1
RFN52462.1	PGH35704.1
RFN52462.1	KKZ64479.1
RFN52462.1	PHH64675.1
RFN52462.1	PHH73516.1
RFN52462.1	PHH74640.1
RFN52462.1	PHH77436.1
RFN52462.1	PHH78561.1
RFN52462.1	PIG80286.1
RFN52462.1	PIG81541.1
RFN52462.1	PIG87040.1
RFN52462.1	PIG87362.1
RFN52462.1	EIT81823.1
RFN52462.1	KJK65223.1
RFN52462.1	KOC11492.1
RFN52462.1	OOO10051.1
RFN52462.1	RAQ42350.1
RFN52462.1	PIG88832.1
RFN52462.1	KOC11667.1
RFN52462.1	PKK44459.1
RFN52462.1	PKK48454.1
RFN52462.1	KKP03106.1
RFN52462.1	OPB35975.1
RFN52462.1	PKK48527.1
RFN52462.1	PKK49724.1
RFN52462.1	KKP03630.1
RFN52462.1	OPB45148.1
RFN52462.1	PNP49745.1
RFN52462.1	XP_024769829.1
RFN52462.1	PKK53592.1
RFN52462.1	KKP00157.1
RFN52462.1	OPB42886.1
RFN52462.1	PLN76248.1
RFN52462.1	PLN78803.1
RFN52462.1	XP_024675734.1
RFN52462.1	XP_024693130.1
RFN52462.1	PLN79471.1
RFN52462.1	PLN79522.1
RFN52462.1	PLN80578.1
RFN52462.1	PLN82843.1
RFN52462.1	PMB63820.1
RFN52462.1	PMB66326.1
RFN52462.1	XP_008603015.1
RFN52462.1	PMD43055.1
RFN52462.1	CZR68764.1
RFN52462.1	PMD46024.1
RFN52462.1	PNP40031.1
RFN52462.1	PNP40510.1
RFN52462.1	RFU80736.1
RFN52462.1	XP_018665923.1
RFN52462.1	PNP41087.1
RFN52462.1	PNP46436.1
RFN52462.1	KKO96624.1
RFN52462.1	OPB45179.1
RFN52462.1	PKK41011.1
RFN52462.1	PNP48430.1
RFN52462.1	XP_013946580.1
RFN52462.1	XP_013954151.1
RFN52462.1	XP_018665689.2
RFN52462.1	XP_024754914.1
RFN52462.1	XP_024769866.1
RFN52462.1	PNS17287.1
RFN52462.1	PNS18094.1
RFN52462.1	PNY29059.1
RFN52462.1	POR31456.1
RFN52462.1	POR33318.1
RFN52462.1	POR34530.1
RFN52462.1	POR38488.1
RFN52462.1	PQE07749.1
RFN52462.1	PQE14662.1
RFN52462.1	PQE08965.1
RFN52462.1	PQE15611.1
RFN52462.1	PQE23195.1
RFN52462.1	PQE25066.1
RFN52462.1	PQE26803.1
RFN52462.1	PQE28703.1
RFN52462.1	PQE22429.1
RFN52462.1	PQE29611.1
RFN52462.1	PQE30100.1
RFN52462.1	PQE05542.1
RFN52462.1	PQE30277.1
RFN52462.1	PQE33483.1
RFN52462.1	PQK15827.1
RFN52462.1	KGQ06267.1
RFN52462.1	OAA44086.1
RFN52462.1	PMB73858.1
RFN52462.1	XP_008602822.1
RFN52462.1	PSK36098.1
RFN52462.1	PSK36699.1
RFN52462.1	PSK38149.1
RFN52462.1	PSK41866.1
RFN52462.1	PSK59444.1
RFN52462.1	PSN59120.1
RFN52462.1	PTB72214.1
RFN52462.1	PTB73794.1
RFN52462.1	PTB81379.1
RFN52462.1	PTB81387.1
RFN52462.1	PTB81710.1
RFN52462.1	XP_024748525.1
RFN52462.1	PTD01267.1
RFN52462.1	PTD02374.1
RFN52462.1	PCD32411.1
RFN52462.1	PTD05450.1
RFN52462.1	PVH90366.1
RFN52462.1	PVH92359.1
RFN52462.1	PVH94219.1
RFN52462.1	PVH98812.1
RFN52462.1	PVH99572.1
RFN52462.1	PWO13842.1
RFN52462.1	OWY54109.1
RFN52462.1	PWO20497.1
RFN52462.1	PZC90497.1
RFN52462.1	PZC93225.1
RFN52462.1	PZC95783.1
RFN52462.1	PZD24293.1
RFN52462.1	PZD39325.1
RFN52462.1	XP_001940472.1
RFN52462.1	PYH89128.1
RFN52462.1	PYH90696.1
RFN52462.1	PYH90847.1
RFN52462.1	PYH96006.1
RFN52462.1	PYI02595.1
RFN52462.1	PYI09480.1
RFN52462.1	XP_025465797.1
RFN52462.1	PYI12403.1
RFN52462.1	PYI12806.1
RFN52462.1	PYI13145.1
RFN52462.1	XP_002340131.1
RFN52462.1	XP_025486358.1
RFN52462.1	PYI16970.1
RFN52462.1	RAK80361.1
RFN52462.1	PYI22891.1
RFN52462.1	XP_020051801.1
RFN52462.1	XP_025428677.1
RFN52462.1	XP_025444970.1
RFN52462.1	XP_025507593.1
RFN52462.1	XP_025530940.1
RFN52462.1	RAO66282.1
RFN52462.1	RAO67869.1
RFN52462.1	RAO67991.1
RFN52462.1	RAO69055.1
RFN52462.1	RAO71994.1
RFN52462.1	KUL91027.1
RFN52462.1	RAO73405.1
RFN52462.1	RAO74327.1
RFN52462.1	KUL81509.1
RFN52462.1	RAQ59728.1
RFN52462.1	EIT74240.1
RFN52462.1	KJK61225.1
RFN52462.1	OOO06968.1
RFN52462.1	RAQ51299.1
RFN52462.1	XP_001210290.1
RFN52462.1	XP_002377808.1
RFN52462.1	XP_024690378.1
RFN52462.1	RAR01591.1
RFN52462.1	RBA14578.1
RFN52462.1	CVK85138.1
RFN52462.1	RBA16027.1
RFN52462.1	RBR01921.1
RFN52462.1	RBR22231.1
RFN52462.1	RBR10782.1
RFN52462.1	RBR12844.1
RFN52462.1	RBR20099.1
RFN52462.1	RBR24095.1
RFN52462.1	RBR25720.1
RFN52462.1	RCI09453.1
RFN52462.1	RDA95803.1
RFN52462.1	RCI10029.1
RFN52462.1	RCI14090.1
RFN52462.1	RDA83108.1
RFN52462.1	RDA90642.1
RFN52462.1	RDA88617.1
RFN52462.1	RDA91410.1
RFN52462.1	RCI11659.1
RFN52462.1	RDA91555.1
RFN52462.1	RCI12325.1
RFN52462.1	RDA94039.1
RFN52462.1	RCI10206.1
RFN52462.1	RDA94078.1
RFN52462.1	RDA85708.1
RFN52462.1	RDA95348.1
RFN52462.1	RDA96188.1
RFN52462.1	RDH29565.1
RFN52462.1	RDW57747.1
RFN52462.1	RDW58766.1
RFN52462.1	RDW57821.1
RFN52462.1	RDW58797.1
RFN52462.1	RDW59090.1
RFN52462.1	RDW59843.1
RFN52462.1	RDW62198.1
RFN52462.1	RDW66837.1
RFN52462.1	RDW62503.1
RFN52462.1	RDW64443.1
RFN52462.1	RDW64991.1
RFN52462.1	RDW68740.1
RFN52462.1	RDW72400.1
RFN52462.1	RDW76415.1
RFN52462.1	RDW79009.1
RFN52462.1	RDW79149.1
RFN52462.1	RDW79208.1
RFN52462.1	RDW79916.1
RFN52462.1	RDW92299.1
RFN52462.1	RDW80343.1
RFN52462.1	RDW84050.1
RFN52462.1	RDW86941.1
RFN52462.1	RDW87153.1
RFN52462.1	RDW90705.1
RFN52462.1	RDW93375.1
RFN52462.1	RDW93506.1
RFN52462.1	RFN43647.1
RFN52462.1	RFN44913.1
RFN52462.1	RFN46936.1
RFN52462.1	RFN47665.1
RFN52462.1	RFN48829.1
RFN52462.1	RFN48968.1
RFN52462.1	RBR14463.1
RFN52462.1	RFU24977.1
RFN52462.1	RFU27703.1
RFN52462.1	RFU73424.1
RFN52462.1	RFU73729.1
RFN52462.1	RFU75866.1
RFN52462.1	RFU75954.1
RFN52462.1	RFU80051.1
RFN52462.1	SCO40031.1
RFN52462.1	KLO93455.1
RFN52462.1	SCO84450.1
RFN52462.1	CEF76092.1
RFN52462.1	CEF76197.1
RFN52462.1	CEJ82953.1
RFN52462.1	CEJ82954.1
RFN52462.1	CEO59612.1
RFN52462.1	CRG91937.1
RFN52462.1	CRK13213.1
RFN52462.1	CVK97670.1
RFN52462.1	CVL01375.1
RFN52462.1	CZR46707.1
RFN52462.1	EDP47891.1
RFN52462.1	EGU73972.1
RFN52462.1	EGU84384.1
RFN52462.1	EGU86786.1
RFN52462.1	EGU86813.1
RFN52462.1	ELA23632.1
RFN52462.1	ENH74703.1
RFN52462.1	EQL01645.1
RFN52462.1	EWY80018.1
RFN52462.1	EWZ30802.1
RFN52462.1	EWZ77348.1
RFN52462.1	EWZ84998.1
RFN52462.1	EXA30333.1
RFN52462.1	EXA36267.1
RFN52462.1	EXK24214.1
RFN52462.1	EXK27755.1
RFN52462.1	EXK27756.1
RFN52462.1	EXK36169.1
RFN52462.1	EXK77782.1
RFN52462.1	EXK79482.1
RFN52462.1	EXL39037.1
RFN52462.1	EXL39096.1
RFN52462.1	EXL52127.1
RFN52462.1	EXL64855.1
RFN52462.1	EXL66214.1
RFN52462.1	EXL67248.1
RFN52462.1	EXL96085.1
RFN52462.1	EXM12425.1
RFN52462.1	EXM14217.1
RFN52462.1	EXM22980.1
RFN52462.1	EXU97777.1
RFN52462.1	EXU98137.1
RFN52462.1	EYB24217.1
RFN52462.1	EYB30533.1
RFN52462.1	KDN72344.1
RFN52462.1	KEY80416.1
RFN52462.1	KFA55211.1
RFN52462.1	KFG84471.1
RFN52462.1	KGO42437.1
RFN52462.1	KHO00483.1
RFN52462.1	KID62591.1
RFN52462.1	KID95168.1
RFN52462.1	KID95388.1
RFN52462.1	KID95704.1
RFN52462.1	KJK73832.1
RFN52462.1	KLO80271.1
RFN52462.1	KLP00448.1
RFN52462.1	KLP02857.1
RFN52462.1	KLP22159.1
RFN52462.1	KND87332.1
RFN52462.1	KND91344.1
RFN52462.1	KXJ84651.1
RFN52462.1	KXJ84981.1
RFN52462.1	KZL71689.1
RFN52462.1	OAA45089.1
RFN52462.1	OAQ63858.1
RFN52462.1	OQE08192.1
RFN52462.1	OQE16718.1
RFN52462.1	PCD20317.1
RFN52462.1	PCD20329.1
RFN52462.1	PCD20333.1
RFN52462.1	PCD32417.1
RFN52462.1	PFH62788.1
RFN52462.1	PNP59224.1
RFN52462.1	PNP78750.1
RFN52462.1	PQK11915.1
RFN52462.1	PTD02044.1
RFN52462.1	PWI63992.1
RFN52462.1	PWI64171.1
RFN52462.1	PWI65073.1
RFN52462.1	RBA14129.1
RFN52462.1	RCI12974.1
RFN52462.1	RDA86853.1
RFN52462.1	RDA90274.1
RFN52462.1	SCO39841.1
RFN52462.1	SCO91194.1
RFN52462.1	SCO91840.1
RFN52462.1	SCV38670.1
RFN52462.1	SCV58599.1
RFN52462.1	SCV61403.1
RFN52462.1	XP_001220694.1
RFN52462.1	XP_001221963.1
RFN52462.1	XP_001225788.1
RFN52462.1	XP_001226751.1
RFN52462.1	XP_001227683.1
RFN52462.1	XP_001228928.1
RFN52462.1	XP_001229828.1
RFN52462.1	XP_003048647.1
RFN52462.1	XP_007809590.1
RFN52462.1	XP_007820599.2
RFN52462.1	XP_007824018.2
RFN52462.1	XP_007824196.1
RFN52462.1	XP_007838088.1
RFN52462.1	XP_009258537.1
RFN52462.1	XP_011319638.1
RFN52462.1	XP_011320871.1
RFN52462.1	XP_014539476.1
RFN52462.1	XP_014540305.1
RFN52462.1	XP_014547839.1
RFN52462.1	XP_016601703.1
RFN52462.1	XP_018138419.1
RFN52462.1	XP_018138705.1
RFN52462.1	XP_018151064.1
RFN52462.1	XP_018245845.1
RFN52462.1	XP_018253854.1
RFN52462.1	XP_018708072.1
RFN52462.1	XP_022284261.1
RFN52462.1	XP_022284892.1
RFN52462.1	XP_022285811.1
RFN52462.1	XP_023434699.1
RFN52462.1	SCO91067.1
RFN52462.1	SCO92463.1
RFN52462.1	SCO92665.1
RFN52462.1	SCV30791.1
RFN52462.1	SCV48958.1
RFN52462.1	CVL11742.1
RFN52462.1	KLO90701.1
RFN52462.1	KLO97408.1
RFN52462.1	RBR01097.1
RFN52462.1	SCO14592.1
RFN52462.1	SCO57395.1
RFN52462.1	XP_018757879.1
RFN52462.1	XP_023437957.1
RFN52462.1	SLM35137.1
RFN52462.1	SMQ51049.1
RFN52462.1	SMR54450.1
RFN52462.1	SMY24711.1
RFN52462.1	XP_003852530.1
RFN52462.1	SMR59383.1
RFN52462.1	SMQ54944.1
RFN52462.1	SMR63219.1
RFN52462.1	SMY28600.1
RFN52462.1	XP_003849017.1
RFN52462.1	XP_001211489.1
RFN52462.1	XP_001211811.1
RFN52462.1	XP_001212674.1
RFN52462.1	XP_001216490.1
RFN52462.1	XP_001217319.1
RFN52462.1	XP_001217356.1
RFN52462.1	XP_001217610.1
RFN52462.1	XP_001212672.1
RFN52462.1	XP_001222966.1
RFN52462.1	XP_001224151.1
RFN52462.1	XP_001224397.1
RFN52462.1	XP_001224566.1
RFN52462.1	XP_001225854.1
RFN52462.1	XP_001225993.1
RFN52462.1	XP_001227154.1
RFN52462.1	CDP27388.1
RFN52462.1	CRK16012.1
RFN52462.1	KZL63520.1
RFN52462.1	OLN97663.1
RFN52462.1	XP_001909662.1
RFN52462.1	XP_009216718.1
RFN52462.1	XP_001257449.1
RFN52462.1	OXN15897.1
RFN52462.1	XP_001258664.1
RFN52462.1	OJJ07715.1
RFN52462.1	XP_001258750.1
RFN52462.1	XP_001259052.1
RFN52462.1	XP_001261218.1
RFN52462.1	XP_001261794.1
RFN52462.1	XP_001270214.1
RFN52462.1	XP_001276017.1
RFN52462.1	XP_001402454.2
RFN52462.1	CAK40499.1
RFN52462.1	EPS38213.1
RFN52462.1	GAM40706.1
RFN52462.1	GAQ47615.1
RFN52462.1	KJK66420.1
RFN52462.1	KKZ65542.1
RFN52462.1	KUL85857.1
RFN52462.1	OJI84574.1
RFN52462.1	OKO92770.1
RFN52462.1	OWW32348.1
RFN52462.1	PCG92678.1
RFN52462.1	PGH05123.1
RFN52462.1	PGH33564.1
RFN52462.1	RAO70605.1
RFN52462.1	RDH15204.1
RFN52462.1	SPB48740.1
RFN52462.1	XP_001258983.1
RFN52462.1	XP_015402094.1
RFN52462.1	XP_025514607.1
RFN52462.1	XP_025558313.1
RFN52462.1	XP_001909622.1
RFN52462.1	XP_001911621.1
RFN52462.1	CDP25848.1
RFN52462.1	XP_002143887.1
RFN52462.1	KFX50553.1
RFN52462.1	RAO70337.1
RFN52462.1	XP_002145755.1
RFN52462.1	KFX41749.1
RFN52462.1	XP_002147348.1
RFN52462.1	GAO83612.1
RFN52462.1	GAQ10567.1
RFN52462.1	KUL81610.1
RFN52462.1	KUL81795.1
RFN52462.1	KUL83288.1
RFN52462.1	KUL84896.1
RFN52462.1	XP_002486760.1
RFN52462.1	XP_002487604.1
RFN52462.1	XP_024682565.1
RFN52462.1	XP_002150114.1
RFN52462.1	KFX43125.1
RFN52462.1	XP_002340080.1
RFN52462.1	CRG91128.1
RFN52462.1	GAM41794.1
RFN52462.1	XP_002340708.1
RFN52462.1	XP_002341744.1
RFN52462.1	XP_002385489.1
RFN52462.1	GAO87605.1
RFN52462.1	RAQ57279.1
RFN52462.1	XP_022386984.1
RFN52462.1	XP_002479618.1
RFN52462.1	XP_002481063.1
RFN52462.1	XP_002481848.1
RFN52462.1	XP_002482926.1
RFN52462.1	XP_002483706.1
RFN52462.1	XP_002484432.1
RFN52462.1	XP_002487665.1
RFN52462.1	XP_002483884.1
RFN52462.1	XP_002487910.1
RFN52462.1	XP_002625875.1
RFN52462.1	XP_002846624.1
RFN52462.1	XP_003040340.1
RFN52462.1	XP_003042658.1
RFN52462.1	XP_003044557.1
RFN52462.1	XP_003049748.1
RFN52462.1	XP_003053988.1
RFN52462.1	XP_003662391.1
RFN52462.1	XP_003662721.1
RFN52462.1	XP_006674411.1
RFN52462.1	XP_006968329.1
RFN52462.1	OPB42857.1
