	Cluster no	Representative no	Nterm	Nterm_GDT
5024	KIN99576	OAX32058.1	ALS2CR11	unk
5025	KIN99576	OAX35515.1	ALS2CR11	unk
5026	KIN99576	OAX35869.1	ALS2CR11	unk
5027	KIN99576	KIK41433.1	ALS2CR11	unk
5028	KIN99576	OAX39070.1	ALS2CR11	unk
5029	KIN99576	OAX40937.1	ALS2CR11	unk
5030	KIN99576	OCB85816.1	ALS2CR11	C2 GOODBYE-LIKE
5031	KIN99576	OCB85823.1	ALS2CR11	C2
5032	KIN99576	OCB85826.1	ALS2CR11	C2
5033	KIN99576	OCB87601.1	ALS2CR11	C2
5034	KIN99576	OCB91370.1	ALS2CR11	C2 GOODBYE-LIKE
5035	KIN99576	OCB87979.1	ALS2CR11	C2
5036	KIN99576	OCB89446.1	ALS2CR11	unk
5037	KIN99576	OCB91509.1	ALS2CR11	unk
5038	KIN99576	OCB91593.1	ALS2CR11	C2
5039	KIN99576	PAV15854.1	ALS2CR11	C2 GOODBYE-LIKE
5040	KIN99576	PAV18229.1	ALS2CR11	C2
5041	KIN99576	PAV18275.1	ALS2CR11	C2
5042	KIN99576	PAV14795.1	ALS2CR11	unk
5043	KIN99576	PAV18289.1	ALS2CR11	C2
5044	KIN99576	PAV18291.1	ALS2CR11	C2
5045	KIN99576	PAV18297.1	ALS2CR11	C2
5046	KIN99576	PAV18301.1	ALS2CR11	C2 GOODBYE-LIKE
5047	KIN99576	PAV18302.1	ALS2CR11	C2
5048	KIN99576	PAV18305.1	ALS2CR11	C2
5049	KIN99576	PAV18323.1	ALS2CR11	C2
5050	KIN99576	PAV18326.1	ALS2CR11	C2
5051	KIN99576	PAV18331.1	ALS2CR11	unk
5052	KIN99576	PAV21617.1	ALS2CR11	C2 GOODBYE-LIKE
5053	KIN99576	PFH46478.1	ALS2CR11	C2
5054	KIN99576	PFH51614.1	ALS2CR11	C2
5055	KIN99576	PPQ74828.1	ALS2CR11	unk
5056	KIN99576	PPR00796.1	ALS2CR11	unk
5057	KIN99576	PPR04540.1	ALS2CR11	unk
5058	KIN99576	PPR04541.1	ALS2CR11	GOODBYE-LIKE
5059	KIN99576	PPQ72843.1	ALS2CR11	GOODBYE-LIKE
5060	KIN99576	PSR70872.1	ALS2CR11	GOODBYE-LIKE
5061	KIN99576	PSR75092.1	ALS2CR11	C2
5062	KIN99576	PSR97287.1	ALS2CR11	C2 GOODBYE-LIKE
5063	KIN99576	RDB17119.1	ALS2CR11	C2
5064	KIN99576	RDB19731.1	ALS2CR11	C2
5065	KIN99576	RDB20131.1	ALS2CR11	C2
5066	KIN99576	RDB19739.1	ALS2CR11	C2
5067	KIN99576	RDB17339.1	ALS2CR11	unk
5068	KIN99576	KIM77511.1	ALS2CR11	C2
5069	KIN99576	RDB23725.1	ALS2CR11	C2
5070	KIN99576	RDB23760.1	ALS2CR11	unk
5071	KIN99576	RDB23811.1	ALS2CR11	unk
5072	KIN99576	XP_001879862.1	ALS2CR11	unk
5073	KIN99576	XP_007265020.1	ALS2CR11	C2
5074	KIN99576	XP_007264596.1	ALS2CR11	C2
5075	KIN99576	XP_007271304.1	ALS2CR11	C2
5076	KIN99576	XP_007271306.1	ALS2CR11	C2
5077	KIN99576	XP_007271320.1	ALS2CR11	C2
5078	KIN99576	XP_007271326.1	ALS2CR11	C2
5079	KIN99576	XP_007271329.1	ALS2CR11	C2
5080	KIN99576	XP_007270047.1	ALS2CR11	unk
5081	KIN99576	PAV17990.1	ALS2CR11	C2 GOODBYE-LIKE
5082	KIN99576	XP_007270141.1	ALS2CR11	unk
5083	KIN99576	XP_007269826.1	ALS2CR11	unk
5084	KIN99576	XP_007270142.1	ALS2CR11	C2
5085	KIN99576	XP_007303396.1	ALS2CR11	unk
5086	KIN99576	XP_007308996.1	ALS2CR11	unk
5087	KIN99576	XP_007308932.1	ALS2CR11	unk
5088	KIN99576	XP_007310977.1	ALS2CR11	unk
5089	KIN99576	XP_007309889.1	ALS2CR11	C2
5090	KIN99576	XP_007321019.1	ALS2CR11	C2
5091	KIN99576	XP_007368677.1	ALS2CR11	unk
5092	KIN99576	XP_007369164.1	ALS2CR11	unk
5093	KIN99576	XP_007379725.1	ALS2CR11	unk
5094	KIN99576	XP_007379723.1	ALS2CR11	unk
5095	KIN99576	XP_007379831.1	ALS2CR11	unk
5096	KIN99576	XP_007384578.1	ALS2CR11	unk
5097	KIN99576	XP_007385125.1	ALS2CR11	unk
5098	KIN99576	XP_007768560.1	ALS2CR11	unk
5099	KIN99576	XP_009550713.1	ALS2CR11	C2
5100	KIN99576	XP_009550686.1	ALS2CR11	C2
5101	KIN99576	XP_009550727.1	ALS2CR11	C2
5102	KIN99576	XP_009552288.1	ALS2CR11	C2 GOODBYE-LIKE
5103	KIN99576	XP_009550633.1	ALS2CR11	C2
5104	KIN99576	XP_009550689.1	ALS2CR11	C2
5105	KIN99576	XP_009550696.1	ALS2CR11	C2
5106	KIN99576	XP_012185826.1	ALS2CR11	unk
5107	KIN99576	XP_012185948.1	ALS2CR11	unk
9871	XP_013424499	XP_013424499.1	Xin	unk
9872	XP_013424499	GAA92091.1	Xin	unk
9873	XP_013424499	XP_007694398.1	Xin	unk
9874	XP_013424499	PVH69241.1	Xin	unk
9875	XP_013424499	XP_007682791.1	Xin	unk
9876	XP_013424499	XP_007676915.1	Xin	unk
9877	XP_013424499	XP_007716868.1	Xin	unk
9878	XP_013424499	RAQ99003.1	Xin	unk
9879	XP_013424499	OCK89280.1	Xin	unk
9880	XP_013424499	EPS44127.1	Xin	unk
9881	XP_013424499	OCK76160.1	Xin	unk
9882	XP_013424499	OCK96642.1	Xin	unk
9883	XP_013424499	OIW26740.1	Xin	unk
9884	XP_013424499	PMD33056.1	Xin	unk
9885	XP_013424499	PMD19891.1	Xin	unk
9886	XP_013424499	PVH70777.1	Xin	unk
9887	XP_013424499	XP_024758109.1	Xin	unk
9888	XP_013424499	ETS03754.1	Xin	unk
9889	XP_013424499	KFX48586.1	Xin	unk
9890	XP_013424499	OPB44877.1	Xin	unk
9973	KZZ99530	KZZ99530.1	Xin	unk
9974	KZZ99530	EGU75419.1	Xin	unk
9975	KZZ99530	CZR49697.1	Xin	unk
9976	KZZ99530	EXL65836.1	Xin	unk
9977	KZZ99530	RBA12825.1	Xin	unk
9978	KZZ99530	OCK88611.1	Xin	unk
9979	KZZ99530	OCL10292.1	Xin	unk
9980	KZZ99530	XP_024722815.1	Xin	unk
9981	KZZ99530	PQE33429.1	Xin	unk
9982	KZZ99530	XP_001223364.1	Xin	unk
9983	KZZ99530	XP_007824495.1	Xin	unk
9984	KZZ99530	AAS80312.1	Xin	unk
9985	KZZ99530	EXL66944.1	Xin	unk
9986	KZZ99530	KFG86104.1	Xin	unk
9987	KZZ99530	KID84908.1	Xin	unk
9988	KZZ99530	KID95826.1	Xin	unk
9989	KZZ99530	KLU84520.1	Xin	unk
9990	KZZ99530	KLU89688.1	Xin	unk
9991	KZZ99530	KXX74246.1	Xin	unk
9992	KZZ99530	PKK53501.1	Xin	unk
9993	KZZ99530	PNP60690.1	Xin	unk
9994	KZZ99530	XP_006969236.1	Xin	unk
9995	KZZ99530	XP_013940395.1	Xin	unk
9996	KZZ99530	XP_013954844.1	Xin	unk
9997	KZZ99530	XP_014539458.1	Xin	unk
9998	KZZ99530	XP_024748177.1	Xin	unk
9999	KZZ99530	XP_013960592.1	Xin	unk
10000	KZZ99530	XP_024743787.1	Xin	unk
10001	KZZ99530	KIM99074.1	Xin	unk
13584	PVH69802	PVH69802.1	Xin	unk
13585	PVH69802	CCX16767.1	Xin	unk
13586	PVH69802	CCX10850.1	Xin	unk
13587	PVH69802	CCX34027.1	Xin	unk
13588	PVH69802	CEJ90686.1	Xin	unk
13589	PVH69802	CEJ81552.1	Xin	unk
13590	PVH69802	CEL07678.1	Xin	unk
13591	PVH69802	CEO59613.1	Xin	unk
13592	PVH69802	KND85546.1	Xin	unk
13593	PVH69802	CAP67939.1	Xin	unk
13594	PVH69802	EXA31380.1	Xin	unk
13595	PVH69802	EGU88526.1	Xin	unk
13596	PVH69802	EWZ77990.1	Xin	unk
13597	PVH69802	EXL67264.1	Xin	unk
13598	PVH69802	XP_018252061.1	Xin	unk
13599	PVH69802	XP_018252171.1	Xin	unk
13600	PVH69802	XP_018253432.1	Xin	unk
13601	PVH69802	KND87255.1	Xin	unk
13602	PVH69802	XP_007827731.1	Xin	unk
13603	PVH69802	CUS09866.1	Xin	unk
13604	PVH69802	CUS14617.1	Xin	unk
13605	PVH69802	CUS06945.1	Xin	unk
13606	PVH69802	CUS08888.1	Xin	unk
13607	PVH69802	CUS10689.1	Xin	unk
13608	PVH69802	CUS10694.1	Xin	unk
13609	PVH69802	CUS10703.1	Xin	unk
13610	PVH69802	CUS12036.1	Xin	unk
13611	PVH69802	CUS12880.1	Xin	unk
13612	PVH69802	CUS12882.1	Xin	unk
13613	PVH69802	CUS12884.1	Xin	unk
13614	PVH69802	CUS12930.1	Xin	unk
13615	PVH69802	CUS12931.1	Xin	unk
13616	PVH69802	CUS14574.1	Xin	unk
13617	PVH69802	CUS14582.1	Xin	unk
13618	PVH69802	CUS14585.1	Xin	unk
13619	PVH69802	CUS14619.1	Xin	unk
13620	PVH69802	CUS15252.1	Xin	unk
13621	PVH69802	PWW73241.1	Xin	unk
13622	PVH69802	PWW75078.1	Xin	unk
13623	PVH69802	CUS12929.1	Xin	unk
13624	PVH69802	KIJ42504.1	Xin	unk
13625	PVH69802	KIJ30870.1	Xin	unk
13626	PVH69802	KIJ42474.1	Xin	unk
13627	PVH69802	KIJ42477.1	Xin	unk
13628	PVH69802	KIJ43577.1	Xin	unk
13629	PVH69802	KIJ43594.1	Xin	unk
13630	PVH69802	EGN91697.1	Xin	unk
13631	PVH69802	EGN97177.1	Xin	unk
13632	PVH69802	EGN97633.1	Xin	unk
13633	PVH69802	EGN97635.1	Xin	unk
13634	PVH69802	EGN99623.1	Xin	unk
13635	PVH69802	ELA25911.1	Xin	unk
13636	PVH69802	ELR06475.1	Xin	unk
13637	PVH69802	XP_024324145.1	Xin	unk
13638	PVH69802	OCH90532.1	Xin	unk
13639	PVH69802	OCK76482.1	Xin	unk
13640	PVH69802	PWO06258.1	Xin	unk
13641	PVH69802	PWO27224.1	Xin	unk
13642	PVH69802	PZC87924.1	Xin	unk
13643	PVH69802	PZC93837.1	Xin	unk
13644	PVH69802	PWW74651.1	Xin	unk
13645	PVH69802	PWW74655.1	Xin	unk
13646	PVH69802	EMD89384.1	Xin	unk
13647	PVH69802	KID94957.1	Xin	unk
13648	PVH69802	OCK96990.1	Xin	unk
13649	PVH69802	EPS41921.1	Xin	unk
13650	PVH69802	EXL99217.1	Xin	unk
13651	PVH69802	OCL01946.1	Xin	unk
13652	PVH69802	KIM96802.1	Xin	unk
13653	PVH69802	KIN05222.1	Xin	unk
13654	PVH69802	PMD42296.1	Xin	unk
13655	PVH69802	PWO16323.1	Xin	unk
13656	PVH69802	PZD01391.1	Xin	unk
13657	PVH69802	XP_024738331.1	Xin	unk
13658	PVH69802	PKK52655.1	Xin	unk
13659	PVH69802	XP_013956166.1	Xin	unk
13660	PVH69802	PNP50730.1	Xin	unk
13661	PVH69802	XP_024726696.1	Xin	unk
13662	PVH69802	XP_024754917.1	Xin	unk
13663	PVH69802	EXM16919.1	Xin	unk
13664	PVH69802	EWZ29588.1	Xin	unk
13665	PVH69802	EWZ81554.1	Xin	unk
13666	PVH69802	EXA33905.1	Xin	unk
13667	PVH69802	EXK30750.1	Xin	unk
13668	PVH69802	EXK81697.1	Xin	unk
13669	PVH69802	EXL41659.1	Xin	unk
13670	PVH69802	EXL68906.1	Xin	unk
13671	PVH69802	GAT48758.1	Xin	unk
13672	PVH69802	KDR66337.1	Xin	unk
13673	PVH69802	KIJ94633.1	Xin	unk
13674	PVH69802	KIJ32711.1	Xin	unk
13675	PVH69802	KIJ47972.1	Xin	unk
13676	PVH69802	KIJ55867.1	Xin	unk
13677	PVH69802	KIK56185.1	Xin	unk
13678	PVH69802	KIL62335.1	Xin	unk
13679	PVH69802	KIL59584.1	Xin	unk
13680	PVH69802	KIL58696.1	Xin	unk
13681	PVH69802	KIM27885.1	Xin	unk
13682	PVH69802	KIM82512.1	Xin	unk
13683	PVH69802	KIM87085.1	Xin	unk
13684	PVH69802	KXL45987.1	Xin	unk
13685	PVH69802	KZP07449.1	Xin	unk
13686	PVH69802	KZP13290.1	Xin	unk
13687	PVH69802	KZP09413.1	Xin	unk
13688	PVH69802	KZP09449.1	Xin	unk
13689	PVH69802	KZP10814.1	Xin	unk
13690	PVH69802	KZP10819.1	Xin	unk
13691	PVH69802	KZP12248.1	Xin	unk
13692	PVH69802	KZP12258.1	Xin	unk
13693	PVH69802	KZP13299.1	Xin	unk
13694	PVH69802	KZP20238.1	Xin	unk
13695	PVH69802	KZP27082.1	Xin	unk
13696	PVH69802	KZP12272.1	Xin	unk
13697	PVH69802	KZV58988.1	Xin	unk
13698	PVH69802	OCK74234.1	Xin	unk
13699	PVH69802	KIN08970.1	Xin	unk
13700	PVH69802	OCK75533.1	Xin	unk
13701	PVH69802	XP_001804016.1	Xin	unk
13702	PVH69802	OCK92954.1	Xin	unk
13703	PVH69802	PMD29828.1	Xin	unk
13704	PVH69802	OCL04595.1	Xin	unk
13705	PVH69802	OCL09887.1	Xin	unk
13706	PVH69802	ODM15087.1	Xin	unk
13707	PVH69802	OIW26857.1	Xin	unk
13708	PVH69802	OJJ70224.1	Xin	unk
13709	PVH69802	OTB16284.1	Xin	unk
13710	PVH69802	OWW37291.1	Xin	unk
13711	PVH69802	EHA24880.1	Xin	unk
13712	PVH69802	PHH90729.1	Xin	unk
13713	PVH69802	PMD25602.1	Xin	unk
13714	PVH69802	PMD37695.1	Xin	unk
13715	PVH69802	PQE13449.1	Xin	unk
13716	PVH69802	KIJ69635.1	Xin	unk
13717	PVH69802	PQE24763.1	Xin	unk
13718	PVH69802	PUU80621.1	Xin	unk
13719	PVH69802	PVH70510.1	Xin	unk
13720	PVH69802	PMD38693.1	Xin	unk
13721	PVH69802	PWW80923.1	Xin	unk
13722	PVH69802	XP_003043745.1	Xin	unk
13723	PVH69802	XP_007733714.1	Xin	unk
13724	PVH69802	PIG82806.1	Xin	unk
13725	PVH69802	XP_013428392.1	Xin	unk
13726	PVH69802	XP_013953913.1	Xin	unk
13727	PVH69802	XP_013961676.1	Xin	unk
13728	PVH69802	XP_016603766.1	Xin	unk
13729	PVH69802	KGO74947.1	Xin	unk
13730	PVH69802	KUM58625.1	Xin	unk
13731	PVH69802	KXG49201.1	Xin	unk
13732	PVH69802	XP_018078098.1	Xin	unk
13733	PVH69802	XP_024726030.1	Xin	unk
13734	PVH69802	KKK13576.1	Xin	unk
13735	PVH69802	PVH73760.1	Xin	unk
13736	PVH69802	XP_024735591.1	Xin	unk
13737	PVH69802	XP_024778274.1	Xin	unk
13738	PVH69802	XP_025546011.1	Xin	unk
13739	PVH69802	KIJ42691.1	Xin	unk
13740	PVH69802	XP_001829836.2	Xin	unk
13741	PVH69802	XP_025434683.1	Xin	unk
13742	PVH69802	XP_025443785.1	Xin	unk
15176	SJL11658	SJL11658.1	ALS2CR11	unk
15177	SJL11658	PBK81341.1	ALS2CR11	unk
15178	SJL11658	SJL11654.1	ALS2CR11	unk
15179	SJL11658	PBK88966.1	ALS2CR11	GOODBYE-LIKE
15180	SJL11658	PBK88973.1	ALS2CR11	GOODBYE-LIKE
15181	SJL11658	KDQ61251.1	ALS2CR11	C2
15182	SJL11658	KZT25309.1	ALS2CR11	unk
15183	SJL11658	KZT25291.1	ALS2CR11	C2
15184	SJL11658	SJL11655.1	ALS2CR11	GOODBYE-LIKE
15185	SJL11658	PBK81342.1	ALS2CR11	unk
15186	SJL11658	PBK88460.1	ALS2CR11	GOODBYE-LIKE
15187	SJL11658	PBK66630.1	ALS2CR11	GOODBYE-LIKE
15188	SJL11658	SJL00946.1	ALS2CR11	GOODBYE-LIKE
15189	SJL11658	PBK66608.1	ALS2CR11	GOODBYE-LIKE
15190	SJL11658	SJL00962.1	ALS2CR11	GOODBYE-LIKE
15191	SJL11658	SJL14668.1	ALS2CR11	GOODBYE-LIKE
15192	SJL11658	SJL00968.1	ALS2CR11	GOODBYE-LIKE
15193	SJL11658	PBK66550.1	ALS2CR11	GOODBYE-LIKE
15194	SJL11658	PBK98107.1	ALS2CR11	GOODBYE-LIKE
15195	SJL11658	PBK98124.1	ALS2CR11	GOODBYE-LIKE
15196	SJL11658	PBK98147.1	ALS2CR11	GOODBYE-LIKE
15197	SJL11658	PBK98163.1	ALS2CR11	GOODBYE-LIKE
15198	SJL11658	PBK98170.1	ALS2CR11	GOODBYE-LIKE
15199	SJL11658	PBK98181.1	ALS2CR11	GOODBYE-LIKE
15200	SJL11658	SJL14629.1	ALS2CR11	GOODBYE-LIKE
15201	SJL11658	SJL14640.1	ALS2CR11	GOODBYE-LIKE
15202	SJL11658	SJL14650.1	ALS2CR11	GOODBYE-LIKE
15203	SJL11658	SJL17586.1	ALS2CR11	GOODBYE-LIKE
15204	SJL11658	SJL16194.1	ALS2CR11	GOODBYE-LIKE
15572	ESK86804	ESK86804.1	AAA_16	unk
15573	ESK86804	EEB90887.1	AAA_16	unk
15574	ESK86804	ESK91753.1	AAA_16	unk
15575	ESK86804	EEB93282.1	AAA_16	unk
15576	ESK86804	EEB91176.1	AAA_16	unk
15577	ESK86804	EEB96115.1	AAA_16	unk
15578	ESK86804	EEB99259.1	AAA_16	unk
15579	ESK86804	EEB99368.1	AAA_16	unk
15580	ESK86804	ESK84058.1	AAA_16	unk
15581	ESK86804	ESK84618.1	AAA_16	unk
15582	ESK86804	KTB39024.1	AAA_16	unk
15583	ESK86804	ESK85033.1	AAA_16	unk
15584	ESK86804	ESK87464.1	AAA_16	unk
15585	ESK86804	ESK85364.1	AAA_16	unk
15586	ESK86804	EEB93378.1	AAA_16	unk
15587	ESK86804	ESK85360.1	AAA_16	unk
15588	ESK86804	ESK89165.1	AAA_16	unk
15589	ESK86804	ESK90514.1	AAA_16	unk
15590	ESK86804	KTB36187.1	AAA_16	unk
15591	ESK86804	KTB40537.1	AAA_16	unk
15592	ESK86804	KTB43790.1	AAA_16	unk
15593	ESK86804	KTB45212.1	AAA_16	unk
15594	ESK86804	EEB89972.1	AAA_16	unk
15595	ESK86804	ESK80979.1	AAA_16	unk
15596	ESK86804	ESK81947.1	AAA_16	unk
15597	ESK86804	ESK82249.1	AAA_16	unk
15598	ESK86804	ESK83762.1	AAA_16	unk
15599	ESK86804	ESK86939.1	AAA_16	unk
15600	ESK86804	ESK94146.1	AAA_16	unk
15601	ESK86804	KTB33197.1	AAA_16	unk
15602	ESK86804	KTB38253.1	AAA_16	unk
15603	ESK86804	KTB39637.1	AAA_16	unk
15604	ESK86804	KTB40463.1	AAA_16	unk
15605	ESK86804	KIK58406.1	AAA_16	unk
15606	ESK86804	KTB29349.1	AAA_16	unk
15607	ESK86804	KTB38396.1	AAA_16	unk
15608	ESK86804	ESK85671.1	AAA_16	unk
15609	ESK86804	KTB40098.1	AAA_16	unk
15610	ESK86804	ESK83327.1	AAA_16	unk
15611	ESK86804	ESK86206.1	AAA_16	unk
15612	ESK86804	ESK86730.1	AAA_16	unk
15613	ESK86804	ESK86709.1	AAA_16	unk
15614	ESK86804	KTB33151.1	AAA_16	unk
15615	ESK86804	KTB33153.1	AAA_16	unk
15616	ESK86804	ESK82448.1	AAA_16	unk
15617	ESK86804	ESK86794.1	AAA_16	unk
15618	ESK86804	ESK86798.1	AAA_16	unk
15619	ESK86804	ESK86941.1	AAA_16	unk
15620	ESK86804	ESK88093.1	AAA_16	unk
15621	ESK86804	ESK90275.1	AAA_16	unk
15622	ESK86804	KTB31091.1	AAA_16	unk
15623	ESK86804	KTB37399.1	AAA_16	unk
15624	ESK86804	KTB43199.1	AAA_16	unk
15625	ESK86804	ESK86530.1	AAA_16	unk
15626	ESK86804	ESK90269.1	AAA_16	unk
15627	ESK86804	ESK90280.1	AAA_16	unk
15628	ESK86804	ESK90283.1	AAA_16	unk
15629	ESK86804	ESK95633.1	AAA_16	unk
15630	ESK86804	KTB27879.1	AAA_16	unk
15631	ESK86804	KTB37391.1	AAA_16	unk
15632	ESK86804	KTB37404.1	AAA_16	unk
15633	ESK86804	KTB37412.1	AAA_16	unk
15634	ESK86804	ESK91378.1	AAA_16	unk
15635	ESK86804	EEB91626.1	AAA_16	unk
15636	ESK86804	KTB42613.1	AAA_16	unk
15637	ESK86804	ESK91669.1	AAA_16	unk
15638	ESK86804	EEB96849.1	AAA_16	unk
15639	ESK86804	ESK88197.1	AAA_16	unk
15640	ESK86804	KTB40580.1	AAA_16	unk
15641	ESK86804	ESK91749.1	AAA_16	unk
15642	ESK86804	ESK95381.1	AAA_16	unk
15643	ESK86804	GAW05073.1	AAA_16	unk
15644	ESK86804	KDR67137.1	AAA_16	unk
15645	ESK86804	KDR67104.1	AAA_16	unk
15646	ESK86804	KDR67176.1	AAA_16	unk
15647	ESK86804	KDR67178.1	AAA_16	unk
15648	ESK86804	KDR68256.1	AAA_16	unk
15649	ESK86804	KDR68993.1	AAA_16	unk
15650	ESK86804	KDR69758.1	AAA_16	unk
15651	ESK86804	KDR70772.1	AAA_16	unk
15652	ESK86804	KDR74699.1	AAA_16	unk
15653	ESK86804	KDR74704.1	AAA_16	unk
15654	ESK86804	KDR74738.1	AAA_16	unk
15655	ESK86804	KDR74792.1	AAA_16	unk
15656	ESK86804	KDR79938.1	AAA_16	unk
15657	ESK86804	PPQ82414.1	AAA_16	unk
15658	ESK86804	PPQ85048.1	AAA_16	unk
15659	ESK86804	PPQ85049.1	AAA_16	unk
15660	ESK86804	PPQ85050.1	AAA_16	unk
15661	ESK86804	PPQ85051.1	AAA_16	unk
15662	ESK86804	PPQ85788.1	AAA_16	unk
15663	ESK86804	KDR67310.1	AAA_16	unk
15664	ESK86804	KDR66253.1	AAA_16	unk
15665	ESK86804	KDR66274.1	AAA_16	unk
15666	ESK86804	KDR67318.1	AAA_16	unk
15667	ESK86804	KDR67333.1	AAA_16	unk
15668	ESK86804	KDR67515.1	AAA_16	unk
15669	ESK86804	KDR84165.1	AAA_16	unk
15670	ESK86804	KDR84234.1	AAA_16	unk
15671	ESK86804	KDR84242.1	AAA_16	unk
15672	ESK86804	KDR72397.1	AAA_16	unk
15673	ESK86804	KDR73130.1	AAA_16	unk
15674	ESK86804	KDR76919.1	AAA_16	unk
15675	ESK86804	KDR84223.1	AAA_16	unk
15676	ESK86804	KDR84402.1	AAA_16	unk
15677	ESK86804	PPQ97706.1	AAA_16	unk
15678	ESK86804	KDR67797.1	AAA_16	unk
15679	ESK86804	KDR67864.1	AAA_16	unk
15680	ESK86804	KDR68595.1	AAA_16	unk
15681	ESK86804	KDR70099.1	AAA_16	unk
15682	ESK86804	KDR68815.1	AAA_16	unk
15683	ESK86804	KDR69331.1	AAA_16	unk
15684	ESK86804	KDR73816.1	AAA_16	unk
15685	ESK86804	KDR69337.1	AAA_16	unk
15686	ESK86804	KDR70268.1	AAA_16	unk
15687	ESK86804	KDR73106.1	AAA_16	unk
15688	ESK86804	KIM36705.1	AAA_16	unk
15689	ESK86804	KDR71778.1	AAA_16	unk
15690	ESK86804	KDR68312.1	AAA_16	unk
15691	ESK86804	KDR72734.1	AAA_16	unk
15692	ESK86804	KDR73014.1	AAA_16	unk
15693	ESK86804	KDR73059.1	AAA_16	unk
15694	ESK86804	KDR73182.1	AAA_16	unk
15695	ESK86804	KDR68648.1	AAA_16	unk
15696	ESK86804	KDR68606.1	AAA_16	unk
15697	ESK86804	KDR68617.1	AAA_16	unk
15698	ESK86804	KDR70024.1	AAA_16	unk
15699	ESK86804	KDR75969.1	AAA_16	unk
15700	ESK86804	KDR76528.1	AAA_16	unk
15701	ESK86804	KIM34988.1	AAA_16	unk
15702	ESK86804	KIM43687.1	AAA_16	unk
15703	ESK86804	KIM44126.1	AAA_16	unk
15704	ESK86804	KIM45368.1	AAA_16	unk
15705	ESK86804	KJA22023.1	AAA_16	unk
15706	ESK86804	KJA25138.1	AAA_16	unk
15707	ESK86804	KTB32039.1	AAA_16	unk
15708	ESK86804	PPQ81737.1	AAA_16	unk
15709	ESK86804	PPQ84421.1	AAA_16	unk
15710	ESK86804	PPQ86936.1	AAA_16	unk
15711	ESK86804	PPQ86919.1	AAA_16	unk
15712	ESK86804	PPQ88758.1	AAA_16	unk
15713	ESK86804	KDR69961.1	AAA_16	unk
15714	ESK86804	KDR71808.1	AAA_16	unk
15715	ESK86804	PPQ74595.1	AAA_16	unk
15716	ESK86804	PPQ81455.1	AAA_16	unk
15717	ESK86804	PPQ82991.1	AAA_16	unk
15718	ESK86804	PPQ83499.1	AAA_16	unk
15719	ESK86804	PPQ84050.1	AAA_16	unk
15720	ESK86804	PPQ84072.1	AAA_16	unk
15721	ESK86804	PPQ85335.1	AAA_16	unk
15722	ESK86804	PPQ86587.1	AAA_16	unk
15723	ESK86804	PPQ88225.1	AAA_16	unk
15724	ESK86804	PPQ88276.1	AAA_16	unk
15725	ESK86804	PPQ88929.1	AAA_16	unk
15726	ESK86804	PPQ90207.1	AAA_16	unk
15727	ESK86804	PPQ91078.1	AAA_16	unk
15728	ESK86804	PPQ91216.1	AAA_16	unk
15729	ESK86804	PPQ91639.1	AAA_16	unk
15730	ESK86804	PPQ92644.1	AAA_16	unk
15731	ESK86804	PPQ93115.1	AAA_16	unk
15732	ESK86804	PPQ93116.1	AAA_16	unk
15733	ESK86804	PPQ93151.1	AAA_16	unk
15734	ESK86804	PPQ95014.1	AAA_16	unk
15735	ESK86804	PPQ95015.1	AAA_16	unk
15736	ESK86804	PPQ95553.1	AAA_16	unk
15737	ESK86804	PPQ89614.1	AAA_16	unk
15738	ESK86804	PPQ96090.1	AAA_16	unk
15739	ESK86804	KDR73183.1	AAA_16	unk
15740	ESK86804	KDR73203.1	AAA_16	unk
15741	ESK86804	KDR73205.1	AAA_16	unk
15742	ESK86804	PPQ86269.1	AAA_16	unk
15743	ESK86804	KDR74221.1	AAA_16	unk
15744	ESK86804	KDR77579.1	AAA_16	unk
15745	ESK86804	KDR77964.1	AAA_16	unk
15746	ESK86804	KDR77943.1	AAA_16	unk
15747	ESK86804	KDR77950.1	AAA_16	unk
15748	ESK86804	KDR78117.1	AAA_16	unk
15749	ESK86804	KDR78558.1	AAA_16	unk
15750	ESK86804	KDR72172.1	AAA_16	unk
15751	ESK86804	KDR78428.1	AAA_16	unk
15752	ESK86804	KDR78435.1	AAA_16	unk
15753	ESK86804	KDR78440.1	AAA_16	unk
15754	ESK86804	KDR78446.1	AAA_16	unk
15755	ESK86804	KDR78467.1	AAA_16	unk
15756	ESK86804	KDR78470.1	AAA_16	unk
15757	ESK86804	KDR78480.1	AAA_16	unk
15758	ESK86804	KDR78483.1	AAA_16	unk
15759	ESK86804	KDR78523.1	AAA_16	unk
15760	ESK86804	KDR78562.1	AAA_16	unk
15761	ESK86804	KDR78567.1	AAA_16	unk
15762	ESK86804	KDR78569.1	AAA_16	unk
15763	ESK86804	KDR79076.1	AAA_16	unk
15764	ESK86804	KIM37132.1	AAA_16	unk
15765	ESK86804	KDR78765.1	AAA_16	unk
15766	ESK86804	KDR79782.1	AAA_16	unk
15767	ESK86804	KDR81215.1	AAA_16	unk
15768	ESK86804	KDR81237.1	AAA_16	unk
15769	ESK86804	PPR06017.1	AAA_16	unk
15770	ESK86804	KDR79883.1	AAA_16	unk
15771	ESK86804	KDR80291.1	AAA_16	unk
15772	ESK86804	KDR84244.1	AAA_16	unk
15773	ESK86804	KDR84498.1	AAA_16	unk
15774	ESK86804	PPQ85680.1	AAA_16	unk
15775	ESK86804	KDR85967.1	AAA_16	unk
